Id,survey_date,duration_min,"Do you confirm that you are aged 18 or over, have read the Participant Information Sheet, and agree to take part in this anonymous research study?","Do you understand that your answers are anonymous and that no identifying information (such as your name, email, or IP address) will be collected?",What is your age group,Gender,Are you currently an ATU Student?,"How often do you use AI tools (for example, ChatGPT, Gemini, Copilot, or similar)?",Your Online Activity.I sometimes go online "just for a minute" and end up staying much longer than I intended.,Your Online Activity.I often check social media or messaging apps without really thinking about it.,Your Online Activity.I find it hard to stop scrolling even when I know I should be doing something else.,Your Online Activity.I sometimes post or reply online before I've fully thought through what I want to say.,"Online Feelings.When someone is upset online, it rarely affects me emotionally.",Online Feelings.I don't feel as responsible for other people's feelings when I'm communicating online.,Online Feelings.It's easier for me to ignore someone's feelings in an online conversation than in person.,Online Feelings.I feel less emotionally involved in online conflicts than face-to-face arguments.,Online Norms.It's pretty normal for people to be rude or hostile online.,Online Norms.Swearing or insulting others is just part of online culture.,Online Norms.People should expect harsh comments if they post controversial opinions online.,Online Norms.Calling someone names online isn't a big deal compared to saying it in person.,"Your Sense of Online Anonymity.When I'm online, I feel like people don't really know who I am.",Your Sense of Online Anonymity.I feel more anonymous online than in face-to-face situations.,Your Sense of Online Anonymity.It would be hard for most people to connect my online activity back to me personally.,"Your Sense of Online Anonymity.I feel like I can ""blend in"" online and not stand out as a specific individual.",Online Reactions.Sometimes people deserve a harsh response online if they say something offensive.,"Online Reactions.If someone attacks me online, I feel justified in attacking them back.",Online Reactions.Making fun of someone online is acceptable if they started the argument.,Online Reactions.I can understand why people join in when others gang up on someone online.,Online Reactions.Posting a cutting comment can be a good way to shut down someone who's being annoying.,Online Reactions.I don't feel particularly guilty if I've been harsh to someone online.,Your Trust in AI Tools.I trust AI tools to give me generally accurate information.,Your Trust in AI Tools.I feel comfortable following suggestions made by AI systems.,Your Trust in AI Tools.I believe AI tools are designed with users' best interests in mind.,Your Trust in AI Tools.I am cautious about AI systems and rarely rely on them.,"Your Trust in AI Tools.Overall, I feel AI tools are safe to use.",How You Communicate with AI.I feel more comfortable expressing my true thoughts when I'm interacting with AI.,How You Communicate with AI.I sometimes say things to AI tools that I would not say to another person.,How You Communicate with AI.I feel less judged when I interact with AI than when I talk to people.,How You Communicate with AI.I am more direct or blunt when I'm communicating with or through AI systems.,How You Communicate with AI.Interacting with AI makes it easier to let off steam or vent.,How familiar or comfortable do you feel with the AI tools you use?,How do you see yourself?.I see myself as someone who is outgoing and talkative.,How do you see yourself?.I see myself as someone who is organised and keeps track of details.,How do you see yourself?.I see myself as someone who gets nervous or anxious easily.,How do you see yourself?.I see myself as someone who is sensitive to other people's feelings.,How do you see yourself?.I see myself as someone who enjoys new and unusual ideas.,How likely would you be to respond with a sharp or hostile message in this situation?,How serious do you think this situation is?,Which of the following responses sounds most like what you would do?,"To show that you are paying attention, please select ""Agree."""
37,2026-01-29,5.0,Yes,Yes,18-24,Woman,Yes,Daily,Agree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,3.0,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,5.0,8.0,Talk to someone else about it privately.,Agree
38,2026-01-29,38.48,Yes,Yes,18-24,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Agree,7.0,4.0,Reply with a sharp or sarcastic comment.,Agree
39,2026-01-29,3.58,Yes,Yes,18-24,Woman,Yes,Several times a week,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,8.0,Disagree,Strongly agree,Strongly agree,Strongly agree,Neither Agree Nor Disagree,5.0,6.0,Ignore it and move on.,Agree
40,2026-01-29,5.42,Yes,Yes,18-24,Woman,Yes,Daily,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,5.0,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,4.0,8.0,Reply calmly but firmly.,Agree
41,2026-01-29,2.65,Yes,Yes,18-24,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Agree,Agree,2.0,3.0,Ignore it and move on.,Agree
42,2026-01-29,7.97,Yes,Yes,35-44,Woman,Yes,Daily,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,7.0,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,8.0,6.0,Reply with a sharp or sarcastic comment.,Agree
43,2026-01-29,37.93,Yes,Yes,18-24,Man,Yes,Less than once a month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Strongly agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,5.0,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,10.0,7.0,Reply with a sharp or sarcastic comment.,Agree
44,2026-01-29,6.38,Yes,Yes,18-24,Woman,Yes,Less than once a month,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,4.0,Agree,Agree,Agree,Strongly agree,Agree,4.0,8.0,Ignore it and move on.,Agree
45,2026-01-29,5.1,Yes,Yes,18-24,Woman,Yes,About once a month,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,8.0,Agree,Agree,Disagree,Neither Agree Nor Disagree,Agree,1.0,9.0,Report or block the person.,Agree
46,2026-01-29,4.37,Yes,Yes,18-24,Man,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,7.0,Agree,Disagree,Strongly agree,Strongly agree,Agree,1.0,10.0,Report or block the person.,Agree
47,2026-01-29,16.63,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Agree,Disagree,7.0,Disagree,Neither Agree Nor Disagree,Agree,Strongly agree,Agree,5.0,8.0,Ignore it and move on.,Agree
48,2026-01-29,3.43,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither Agree Nor Disagree,1.0,10.0,Report or block the person.,Agree
49,2026-01-29,7.08,Yes,Yes,18-24,Woman,Yes,Several times a week,Strongly Agree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,7.0,Strongly agree,Agree,Disagree,Strongly agree,Agree,4.0,3.0,Report or block the person.,Agree
50,2026-01-29,6.18,Yes,Yes,18-24,Woman,Yes,Several times a week,Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,5.0,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,4.0,7.0,Ignore it and move on.,Agree
51,2026-01-29,8.7,Yes,Yes,18-24,Woman,Yes,,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Strongly Disagree,5.0,Agree,Agree,Agree,Strongly agree,Neither Agree Nor Disagree,5.0,6.0,Ignore it and move on.,Agree
52,2026-01-29,4.13,Yes,Yes,18-24,Man,Yes,Less than once a month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,4.0,Agree,Strongly Disagree,Strongly agree,Agree,Disagree,4.0,1.0,Reply calmly but firmly.,Agree
53,2026-01-29,5.03,Yes,Yes,18-24,Woman,Yes,Several times a week,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,6.0,Agree,Agree,Agree,Agree,Agree,4.0,7.0,Ignore it and move on.,Agree
54,2026-01-29,16.77,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Agree,Agree,10.0,Strongly agree,Disagree,Strongly Disagree,Agree,Agree,5.0,1.0,Reply calmly but firmly.,Agree
55,2026-01-29,4.18,Yes,Yes,18-24,Woman,Yes,Less than once a month,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,5.0,Neither Agree Nor Disagree,Agree,Strongly agree,Strongly agree,Agree,8.0,3.0,Reply calmly but firmly.,Agree
56,2026-01-29,4.37,Yes,Yes,18-24,Woman,Yes,About once a week,Agree,Disagree,Agree,Strongly Disagree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,7.0,Strongly agree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Strongly agree,3.0,6.0,Reply calmly but firmly.,Agree
57,2026-01-29,5.52,Yes,Yes,25-34,Man,Yes,About once a month,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,7.0,Agree,Strongly agree,Neither Agree Nor Disagree,Strongly agree,Strongly agree,2.0,10.0,Reply calmly but firmly.,Agree
58,2026-01-29,5.8,Yes,Yes,18-24,Woman,Yes,About once a week,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,7.0,Neither Agree Nor Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,1.0,1.0,Ignore it and move on.,Agree
59,2026-01-29,7.22,Yes,Yes,18-24,Woman,Yes,Several times a week,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,7.0,Agree,Agree,Agree,Agree,Agree,1.0,2.0,Ignore it and move on.,Agree
60,2026-01-29,5.38,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,8.0,Agree,Disagree,Strongly agree,Agree,Agree,3.0,2.0,Talk to someone else about it privately.,Agree
61,2026-01-29,8.32,Yes,Yes,25-34,Man,Yes,About once a week,Agree,Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,5.0,Agree,Disagree,Strongly agree,Agree,Strongly agree,1.0,1.0,Report or block the person.,Agree
62,2026-01-29,4.13,Yes,Yes,18-24,Man,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,3.0,2.0,Ignore it and move on.,Agree
63,2026-01-29,5.18,Yes,Yes,25-34,Woman,Yes,Daily,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,5.0,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,1.0,3.0,Ignore it and move on.,Agree
64,2026-01-29,7.53,Yes,Yes,18-24,Woman,Yes,About once a week,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,5.0,Agree,Agree,Strongly agree,Strongly agree,Neither Agree Nor Disagree,1.0,8.0,Report or block the person.,Agree
65,2026-01-29,2.27,Yes,Yes,18-24,Man,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,7.0,5.0,Reply with a sharp or sarcastic comment.,Agree
66,2026-01-29,17.98,Yes,Yes,25-34,Non-binary,Yes,About once a month,Agree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Strongly agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,5.0,Agree,Agree,Neither Agree Nor Disagree,,Agree,1.0,1.0,Ignore it and move on.,Agree
67,2026-01-29,10.32,Yes,Yes,18-24,Woman,Yes,Less than once a month,Strongly Agree,Strongly Agree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,3.0,Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,5.0,8.0,Reply calmly but firmly.,Agree
68,2026-01-29,1.73,Yes,Yes,25-34,Non-binary,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,1.0,1.0,Ignore it and move on.,Agree
69,2026-01-29,12.95,Yes,Yes,18-24,Man,Yes,About once a month,Strongly Agree,Neither Agree Nor Disagree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,5.0,Agree,Disagree,Neither Agree Nor Disagree,Agree,Strongly agree,2.0,2.0,Talk to someone else about it privately.,Agree
70,2026-01-29,4.15,Yes,Yes,18-24,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,2.0,4.0,Report or block the person.,Agree
71,2026-01-29,10.63,Yes,Yes,18-24,Woman,Yes,About once a month,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly agree,Disagree,Disagree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,6.0,Disagree,Agree,Strongly agree,Agree,Disagree,3.0,3.0,Report or block the person.,Agree
72,2026-01-29,5.0,Yes,Yes,18-24,Woman,Yes,Several times a week,Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,10.0,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,1.0,8.0,Talk to someone else about it privately.,Agree
73,2026-01-29,3.58,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,7.0,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,5.0,5.0,Ignore it and move on.,Agree
74,2026-01-29,3.43,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly agree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9.0,Agree,Disagree,Neither Agree Nor Disagree,Strongly agree,Agree,2.0,10.0,Ignore it and move on.,Agree
75,2026-01-29,88.33,Yes,Yes,25-34,Woman,Yes,Several times a week,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,6.0,Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,2.0,10.0,Ignore it and move on.,Agree
